************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               4
 number of cores per block  =               2
 global update is not used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    0.500000000000000
Anti-aidabatic limit, M = 0.0
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error            LError
 
BF_KE               1       10.12089149        0.34798065        0.73425226
  
BF_PE               1       10.00000000        0.00000000        0.00000000
  
BF_X                1        0.13897156        0.14298897        0.12155973
  
#-----------------------------------------------------------
BFx_BFx             1        9.63312869        0.43500190        0.46489018
BFx_BFx             2       -0.28744720        0.22340473        0.12106823
BFx_BFx             3       -0.56992956        0.25608741        0.46725295
BFx_BFx             4       -0.33739610        0.26792503        0.30427414
BFx_BFx             5        0.92114695        0.38662242        0.48814349
BFx_BFx             6       -0.33739610        0.26792503        0.30427414
BFx_BFx             7       -0.56992956        0.25608741        0.46725295
BFx_BFx             8       -0.28744720        0.22340473        0.12106823
BFx_BFx             9       -0.40485237        0.25484812        0.03257729
BFx_BFx            10        0.00909651        0.31073103        0.25428309
BFx_BFx            11       -0.04599601        0.25980082        0.01251880
BFx_BFx            12       -0.35412241        0.42223386        0.21735240
BFx_BFx            13       -0.39313745        0.16975863        0.16015237
BFx_BFx            14       -0.31985466        0.26268545        0.05295656
BFx_BFx            15        0.01554119        0.30326144        0.28575790
BFx_BFx            16       -0.73696135        0.47882404        0.05796037
BFx_BFx            17       -0.21773391        0.37766931        0.13173330
