************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               4
 number of cores per block  =               2
 global update is not used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    0.700000000000000
Anti-aidabatic limit, M = 0.0
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error            LError
BFx_BFx_k          26       -0.30407599        0.01939403        0.00136967
BFx_BFx_k          27        0.01467102        0.03273596        0.04043973
BFx_BFx_k          28       -0.03118556        0.03995934        0.07049625
BFx_BFx_k          29        0.45463870        0.01844501        0.00584107
BFx_BFx_k          30        0.00089002        0.01998727        0.03386026
BFx_BFx_k          31       -0.03208400        0.01937297        0.02300382
BFx_BFx_k          32       -0.24024000        0.02461231        0.00261704
BFx_BFx_k          33        0.20345348        0.06880757        0.03694875
BFx_BFx_k          34       -0.28692097        0.03317669        0.04504748
BFx_BFx_k          35       -0.01028119        0.01742974        0.02527759
BFx_BFx_k          36       -0.10146023        0.04036189        0.01912431
BFx_BFx_k          37        0.48947353        0.05951500        0.02843279
BFx_BFx_k          38       -0.10146023        0.04036189        0.01912431
BFx_BFx_k          39       -0.01028119        0.01742974        0.02527759
BFx_BFx_k          40       -0.28692097        0.03317669        0.04504748
BFx_BFx_k          41        0.14078452        0.02134849        0.03127672
BFx_BFx_k          42       -0.24024000        0.02461231        0.00261704
BFx_BFx_k          43       -0.03208400        0.01937297        0.02300382
BFx_BFx_k          44        0.00089002        0.01998727        0.03386026
BFx_BFx_k          45        0.45463870        0.01844501        0.00584107
BFx_BFx_k          46       -0.03118556        0.03995934        0.07049625
BFx_BFx_k          47        0.01467102        0.03273596        0.04043973
BFx_BFx_k          48       -0.30407599        0.01939403        0.00136967
BFx_BFx_k          49        0.15699688        0.03346474        0.02106939
BFx_BFx_k          50       -0.31558603        0.02687834        0.03295685
BFx_BFx_k          51        0.00351190        0.03594835        0.00985067
BFx_BFx_k          52       -0.01921572        0.04449513        0.07157032
BFx_BFx_k          53        0.50472088        0.03183413        0.00835995
BFx_BFx_k          54       -0.03748581        0.02688252        0.00237352
BFx_BFx_k          55       -0.03501559        0.02442691        0.02946289
BFx_BFx_k          56       -0.19895567        0.01585140        0.01385091
BFx_BFx_k          57        0.15294397        0.02485096        0.04685838
BFx_BFx_k          58       -0.28363201        0.02074186        0.00386657
BFx_BFx_k          59        0.01739437        0.01557067        0.01038926
BFx_BFx_k          60       -0.07673509        0.02178381        0.03554982
BFx_BFx_k          61        0.49337922        0.02612836        0.01966036
BFx_BFx_k          62       -0.07006408        0.01885730        0.00688935
BFx_BFx_k          63        0.04282651        0.01770017        0.02326738
BFx_BFx_k          64       -0.30021629        0.01682623        0.02893630
  
#-----------------------------------------------------------
BFx_BFy             1       -0.37376501        0.38006994        0.70911787
BFx_BFy             2        0.23774092        0.32406947        0.72069757
BFx_BFy             3        0.13936977        0.30625453        0.68769867
BFx_BFy             4       -0.49118459        0.29256817        0.28241487
BFx_BFy             5        0.45105226        0.27796516        0.01080105
BFx_BFy             6       -0.06949543        0.25789346        0.02729188
BFx_BFy             7        0.10352643        0.41662441        0.43605525
BFx_BFy             8       -0.10239682        0.32991955        0.07258935
BFx_BFy             9        0.01328679        0.25326488        0.54977028
BFx_BFy            10       -0.33173816        0.23060304        0.12160328
BFx_BFy            11        0.09225056        0.28478830        0.11003343
BFx_BFy            12        0.53284018        0.32881800        0.42607571
BFx_BFy            13       -0.02815461        0.44373630        0.45389857
BFx_BFy            14       -0.06447601        0.41150739        0.51087105
BFx_BFy            15       -0.76140231        0.33110030        0.47063228
BFx_BFy            16       -0.56714125        0.38058504        0.24035276
BFx_BFy            17        0.34049879        0.25496230        0.25459653
BFx_BFy            18        0.47782091        0.21909798        0.24852306
BFx_BFy            19       -0.60516696        0.41668722        0.65990634
BFx_BFy            20       -0.25938044        0.30510603        0.17213222
BFx_BFy            21        0.12735662        0.43174555        0.67083358
BFx_BFy            22       -0.00886989        0.38358860        0.76294174
BFx_BFy            23       -0.27460460        0.28431324        0.06218054
BFx_BFy            24       -0.24911866        0.42328293        0.04051578
BFx_BFy            25       -0.05442736        0.41861096        0.00716383
BFx_BFy            26       -0.24244468        0.34755793        0.14095267
BFx_BFy            27        0.88424650        0.26135897        0.20514563
BFx_BFy            28       -0.03070909        0.30346953        0.22045547
BFx_BFy            29       -0.02168995        0.38291530        0.51225411
BFx_BFy            30       -0.05884579        0.33385035        0.37353608
BFx_BFy            31       -0.34041758        0.28215601        0.03832148
BFx_BFy            32       -0.93538651        0.25247949        0.29943944
BFx_BFy            33        0.62321259        0.21795281        0.42076144
BFx_BFy            34       -0.19012169        0.20321005        0.15543267
BFx_BFy            35       -0.03505277        0.29089623        0.22107413
BFx_BFy            36        0.38476714        0.25360564        0.18988885
BFx_BFy            37        0.07957435        0.27526505        0.46475308
BFx_BFy            38       -0.01470584        0.32203385        0.15179620
BFx_BFy            39       -0.27604536        0.27453961        0.08701538
BFx_BFy            40       -0.06270335        0.38886859        0.41164534
BFx_BFy            41       -0.00220195        0.25068139        0.17166287
BFx_BFy            42        0.03808468        0.33804066        0.19432496
BFx_BFy            43        0.59928450        0.36682222        0.24193705
BFx_BFy            44        0.07928636        0.21466188        0.38630688
BFx_BFy            45       -0.30784551        0.50104385        1.25883327
BFx_BFy            46        0.15558420        0.30984822        0.08193220
BFx_BFy            47        0.34672384        0.32952044        0.11171524
BFx_BFy            48        0.49215957        0.33223105        0.22607302
BFx_BFy            49        0.52754532        0.28134260        0.51914682
BFx_BFy            50        0.67431138        0.36522406        0.69782281
BFx_BFy            51       -0.46319975        0.26169443        0.36133007
BFx_BFy            52       -0.29655264        0.36457959        0.11793268
BFx_BFy            53        0.10250852        0.46129325        0.47563521
BFx_BFy            54       -0.36132019        0.32957151        0.19754143
BFx_BFy            55       -0.36785157        0.32024003        0.43064074
BFx_BFy            56        0.01468644        0.20026356        0.08617217
BFx_BFy            57       -0.36388469        0.48084663        0.67152723
BFx_BFy            58       -0.00041664        0.36583032        0.55120158
BFx_BFy            59        0.36321119        0.42523114        1.02502360
BFx_BFy            60       -0.16705821        0.30055469        0.36773209
BFx_BFy            61        0.20616650        0.33043687        0.15281239
BFx_BFy            62       -0.77623523        0.40100772        0.25401102
BFx_BFy            63       -0.58837629        0.27426600        0.35982087
BFx_BFy            64        0.14610892        0.30605458        0.11864121
  
#-----------------------------------------------------------
BFx_BFy_k           1        0.13511215        0.01671814        0.01224804
BFx_BFy_k           2       -0.31645952        0.03868317        0.01211638
BFx_BFy_k           3       -0.00709263        0.02237542        0.00799200
BFx_BFy_k           4       -0.09604150        0.03157383        0.00429308
BFx_BFy_k           5        0.45427335        0.02419778        0.02173568
BFx_BFy_k           6       -0.09604150        0.03157383        0.00429308
BFx_BFy_k           7       -0.00709263        0.02237542        0.00799200
BFx_BFy_k           8       -0.31645952        0.03868317        0.01211638
BFx_BFy_k           9        0.15537106        0.02524532        0.04760198
BFx_BFy_k          10       -0.30498047        0.01709325        0.02939549
BFx_BFy_k          11        0.04350613        0.01798106        0.02363662
BFx_BFy_k          12       -0.07117593        0.01915655        0.00699868
BFx_BFy_k          13        0.50120872        0.02654299        0.01997235
BFx_BFy_k          14       -0.07795281        0.02212950        0.03611396
BFx_BFy_k          15        0.01767041        0.01581776        0.01055413
BFx_BFy_k          16       -0.28813300        0.02107101        0.00392793
BFx_BFy_k          17        0.15948829        0.03399579        0.02140374
BFx_BFy_k          18       -0.20211293        0.01610294        0.01407071
BFx_BFy_k          19       -0.03557126        0.02481455        0.02993045
BFx_BFy_k          20       -0.03808068        0.02730912        0.00241118
BFx_BFy_k          21        0.51273036        0.03233931        0.00849261
BFx_BFy_k          22       -0.01952066        0.04520123        0.07270608
BFx_BFy_k          23        0.00356763        0.03651882        0.01000699
BFx_BFy_k          24       -0.32059411        0.02730488        0.03347985
BFx_BFy_k          25        0.14301865        0.02168727        0.03177305
BFx_BFy_k          26       -0.30890142        0.01970179        0.00139140
BFx_BFy_k          27        0.01490384        0.03325545        0.04108147
BFx_BFy_k          28       -0.03168045        0.04059346        0.07161496
BFx_BFy_k          29        0.46185342        0.01873772        0.00593376
BFx_BFy_k          30        0.00090414        0.02030445        0.03439759
BFx_BFy_k          31       -0.03259315        0.01968040        0.02336888
BFx_BFy_k          32       -0.24405241        0.02500289        0.00265857
BFx_BFy_k          33        0.20668211        0.06989949        0.03753509
BFx_BFy_k          34       -0.29147416        0.03370317        0.04576234
BFx_BFy_k          35       -0.01044434        0.01770634        0.02567872
BFx_BFy_k          36       -0.10307032        0.04100240        0.01942779
BFx_BFy_k          37        0.49724105        0.06045945        0.02888399
BFx_BFy_k          38       -0.10307032        0.04100240        0.01942779
BFx_BFy_k          39       -0.01044434        0.01770634        0.02567872
BFx_BFy_k          40       -0.29147416        0.03370317        0.04576234
BFx_BFy_k          41        0.14301865        0.02168727        0.03177305
BFx_BFy_k          42       -0.24405241        0.02500289        0.00265857
BFx_BFy_k          43       -0.03259315        0.01968040        0.02336888
BFx_BFy_k          44        0.00090414        0.02030445        0.03439759
BFx_BFy_k          45        0.46185342        0.01873772        0.00593376
BFx_BFy_k          46       -0.03168045        0.04059346        0.07161496
BFx_BFy_k          47        0.01490384        0.03325545        0.04108147
BFx_BFy_k          48       -0.30890142        0.01970179        0.00139140
BFx_BFy_k          49        0.15948829        0.03399579        0.02140374
BFx_BFy_k          50       -0.32059411        0.02730488        0.03347985
BFx_BFy_k          51        0.00356763        0.03651882        0.01000699
BFx_BFy_k          52       -0.01952066        0.04520123        0.07270608
BFx_BFy_k          53        0.51273036        0.03233931        0.00849261
BFx_BFy_k          54       -0.03808068        0.02730912        0.00241118
BFx_BFy_k          55       -0.03557126        0.02481455        0.02993045
BFx_BFy_k          56       -0.20211293        0.01610294        0.01407071
BFx_BFy_k          57        0.15537106        0.02524532        0.04760198
BFx_BFy_k          58       -0.28813300        0.02107101        0.00392793
BFx_BFy_k          59        0.01767041        0.01581776        0.01055413
BFx_BFy_k          60       -0.07795281        0.02212950        0.03611396
BFx_BFy_k          61        0.50120872        0.02654299        0.01997235
BFx_BFy_k          62       -0.07117593        0.01915655        0.00699868
BFx_BFy_k          63        0.04350613        0.01798106        0.02363662
BFx_BFy_k          64       -0.30498047        0.01709325        0.02939549
  
#-----------------------------------------------------------
BFy_BFy             1       10.30902714        0.60247596        1.52750151
BFy_BFy             2       -0.13906905        0.24141210        0.60725597
BFy_BFy             3       -0.89877654        0.31610320        0.25961643
BFy_BFy             4       -0.10807924        0.52309370        0.53165890
BFy_BFy             5       -0.37432599        0.42060458        0.00741054
BFy_BFy             6       -0.10807924        0.52309370        0.53165890
BFy_BFy             7       -0.89877654        0.31610320        0.25961643
BFy_BFy             8       -0.13906905        0.24141210        0.60725597
BFy_BFy             9       -0.14580131        0.28688926        0.58857528
BFy_BFy            10        0.22194599        0.29217937        0.13055332
BFy_BFy            11        0.09622835        0.29766843        0.24767493
BFy_BFy            12       -0.12813790        0.51908656        0.40118912
BFy_BFy            13        0.34270631        0.41932653        0.16928494
BFy_BFy            14        0.07973222        0.37090744        0.00547179
BFy_BFy            15       -0.56105063        0.27841348        0.38822956
BFy_BFy            16        0.27820433        0.49797084        0.66733536
BFy_BFy            17       -0.52829314        0.39190921        0.29389176
BFy_BFy            18        0.88239849        0.17782882        0.16421000
