     sbatch-job-name       sbatch-partition            sbatch-nodes     sbatch-ntasks-per-node     sbatch-qos          template        env-model         env-nblock       warmup   nbin_per_core   nmeas_per_bin    print_loop        lat_size       beta      filling          ep_parameter        omega          jump_distance   global_update_distance        global_update         BC_phase
!    L16g08                  intel-sc3,intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        8              800               500            (16,16)          104         0.5                0.8           [2.1:0.3:4.2]         1               1.0                  .true.             0,0                    
!    L16BCg08                  intel-sc3,intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        8              800               500            (16,16)          104         0.5                0.8           [2.1:0.3:4.2]         1               1.0                  .true.             1,1                                        
!    L14g08                  intel-sc3,intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        10              1000               300            (14,14)          100          0.5                0.8           [2.1:0.3:4.2]         1               1.0                  .true.             0,0
    L12g08                  intel-sc3,intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              8000        10              1000               400            (12,12)           96          0.5                0.8          [2.1:0.3:4.2]        1                1.0                  .true.             0,0
    L10g08                  intel-sc3,intel-sc3-32c           2                    32                  huge                EPSOC         EPSOC              8              10000        16            1000               600            (10,10)           88          0.5                0.8          [2.1:0.3:4.2]        1               1.0                  .true.             0,0
    L8g08                   intel-sc3,intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              20000        30            1000               500            (8,8)           80          0.5                 0.8            [2.1:0.3:4.2]          1              1.0                  .true.             0,0
    L6g08                   intel-sc3,intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              40000        60            1000               400            (6,6)           76          0.5                  0.8           [2.1:0.3:4.2]         1              1.0                  .true.             0,0
!    L14BCg08                intel-sc3,intel-sc3-32c            4                   32                  huge                EPSOC         EPSOC              8              6000          10              1000               300            (14,14)           100          0.5                0.8          [2.1:0.3:4.2]          1               1.0                 .true.              1,1
    L12BCg08                intel-sc3,intel-sc3-32c            4                   32                  huge                EPSOC         EPSOC              8              8000          10              1000               400            (12,12)           96          0.5                0.8          [2.1:0.3:4.2]          1               1.0                  .true.             1,1
    L10BCg08                intel-sc3,intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              10000        16             1000               600            (10,10)           88          0.5                0.8          [2.1:0.3:4.2]          1               1.0                  .true.             1,1
    L8BCg08                 intel-sc3,intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              20000        30             1000               500            (8,8)           80          0.5                 0.8          [2.1:0.3:4.2]          1              1.0                  .true.             1,1
    L6BCg08                 intel-sc3,intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              40000        60             1000               400            (6,6)           76          0.5                  0.8         [2.1:0.3:4.2]            1            1.0                    .true.             1,1
