************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               1
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =            1000
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =  100.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.000000000000000
 M   =    1.000000000000000
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
BFx_BFx_k          48        0.00244449        0.00015984
BFx_BFx_k          49        0.00338359        0.00139678
BFx_BFx_k          50        0.00137653        0.00037647
BFx_BFx_k          51        0.00101921        0.00040772
BFx_BFx_k          52        0.00277748        0.00088415
BFx_BFx_k          53        0.00681340        0.00122067
BFx_BFx_k          54        0.00133081        0.00035460
BFx_BFx_k          55        0.00592351        0.00043395
BFx_BFx_k          56        0.00064717        0.00014845
BFx_BFx_k          57        0.00272485        0.00127298
BFx_BFx_k          58        0.00087046        0.00026324
BFx_BFx_k          59        0.00129500        0.00019570
BFx_BFx_k          60        0.00082472        0.00028879
BFx_BFx_k          61        0.00207203        0.00076357
BFx_BFx_k          62        0.00365722        0.00089714
BFx_BFx_k          63        0.00243717        0.00016639
BFx_BFx_k          64        0.00329970        0.00071618
  
#-----------------------------------------------------------
BFx_BFy             1        0.20675887        0.01152877
BFx_BFy             2       -0.19152245        0.00880418
BFx_BFy             3        0.23266620        0.00636750
BFx_BFy             4       -0.22493590        0.00783342
BFx_BFy             5        0.24102221        0.00678955
BFx_BFy             6       -0.21067311        0.01200332
BFx_BFy             7        0.23917858        0.00840416
BFx_BFy             8       -0.17972591        0.01007694
BFx_BFy             9       -0.22682271        0.00892405
BFx_BFy            10        0.21099762        0.01630154
BFx_BFy            11       -0.20467269        0.01458002
BFx_BFy            12        0.20171664        0.01701047
BFx_BFy            13       -0.21507483        0.01271127
