************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               4
 measurements in one_bin              4
 warmup  =              20
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              36
 number of mpi_blocks  =               4
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.400000000000000
 M   =    0.510204081632653
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
BFx_BFx_k          48        0.00293690        0.00140474
BFx_BFx_k          49        0.00861178        0.00052536
BFx_BFx_k          50        0.00243315        0.00069814
BFx_BFx_k          51        0.00655046        0.00113064
BFx_BFx_k          52        0.00988081        0.00145268
BFx_BFx_k          53        0.00193277        0.00048445
BFx_BFx_k          54        0.00810171        0.00158229
BFx_BFx_k          55        0.00306202        0.00081998
BFx_BFx_k          56        0.00513237        0.00210649
BFx_BFx_k          57        0.00358197        0.00127298
BFx_BFx_k          58        0.00750346        0.00122723
BFx_BFx_k          59        0.00307547        0.00099270
BFx_BFx_k          60        0.00367147        0.00086126
BFx_BFx_k          61        0.00704837        0.00163514
BFx_BFx_k          62        0.00355833        0.00085756
BFx_BFx_k          63        0.00664568        0.00189625
BFx_BFx_k          64        0.00920983        0.00181383
  
#-----------------------------------------------------------
BFx_BFy             1        0.49186142        0.02893349
BFx_BFy             2       -0.44011702        0.01744074
BFx_BFy             3        0.43190302        0.01542740
BFx_BFy             4       -0.47126630        0.02087179
BFx_BFy             5        0.49552682        0.02617417
BFx_BFy             6       -0.50005179        0.01077698
BFx_BFy             7        0.50731397        0.01894005
BFx_BFy             8       -0.50703018        0.02029089
BFx_BFy             9       -0.43741505        0.01962246
BFx_BFy            10        0.51649928        0.02020715
BFx_BFy            11       -0.45205641        0.02325463
BFx_BFy            12        0.51270875        0.01450314
BFx_BFy            13       -0.49854304        0.02507047
BFx_BFy            14        0.44818231        0.02907573
BFx_BFy            15       -0.52914163        0.01574622
BFx_BFy            16        0.46635593        0.01201498
BFx_BFy            17        0.51412757        0.01753780
BFx_BFy            18       -0.48037872        0.01484294
BFx_BFy            19        0.45207020        0.01301962
BFx_BFy            20       -0.47487693        0.01994944
BFx_BFy            21        0.46204400        0.02444523
BFx_BFy            22       -0.51614719        0.02079081
BFx_BFy            23        0.45195136        0.02340145
BFx_BFy            24       -0.48891284        0.01157106
BFx_BFy            25       -0.46169018        0.01097138
BFx_BFy            26        0.48996314        0.02570001
BFx_BFy            27       -0.51549509        0.01671771
BFx_BFy            28        0.45958199        0.02448031
BFx_BFy            29       -0.44941206        0.00890776
BFx_BFy            30        0.51105686        0.00989048
BFx_BFy            31       -0.40373184        0.03167499
BFx_BFy            32        0.48726736        0.01906591
BFx_BFy            33        0.48595205        0.02365081
BFx_BFy            34       -0.44960002        0.03349736
BFx_BFy            35        0.45130225        0.01957041
BFx_BFy            36       -0.43789894        0.02761237
BFx_BFy            37        0.47640383        0.01290463
BFx_BFy            38       -0.50258635        0.01850939
BFx_BFy            39        0.45782915        0.02028485
BFx_BFy            40       -0.47094691        0.01556265
BFx_BFy            41       -0.46322827        0.01986738
BFx_BFy            42        0.49885488        0.01548503
BFx_BFy            43       -0.46628385        0.00714380
BFx_BFy            44        0.51312794        0.01748459
BFx_BFy            45       -0.50191200        0.02468526
BFx_BFy            46        0.44204779        0.01648520
BFx_BFy            47       -0.52102618        0.01891416
BFx_BFy            48        0.44442265        0.02986804
BFx_BFy            49        0.42746916        0.02293110
BFx_BFy            50       -0.49502037        0.01767623
BFx_BFy            51        0.49382183        0.02502374
BFx_BFy            52       -0.48362976        0.00605093
BFx_BFy            53        0.48241662        0.01745977
BFx_BFy            54       -0.46639016        0.02352799
BFx_BFy            55        0.49459181        0.01387976
BFx_BFy            56       -0.51451312        0.01716155
BFx_BFy            57       -0.50300676        0.02792411
BFx_BFy            58        0.46962033        0.02025622
BFx_BFy            59       -0.50769296        0.00796086
BFx_BFy            60        0.39003181        0.02463829
BFx_BFy            61       -0.46477239        0.01374242
BFx_BFy            62        0.51281876        0.02013929
BFx_BFy            63       -0.36892563        0.01761877
BFx_BFy            64        0.52807592        0.01993742
  
#-----------------------------------------------------------
BFx_BFy_k           1        0.47673282        0.01600268
BFx_BFy_k           2        0.00043890        0.00071115
BFx_BFy_k           3        0.00172881        0.00057413
BFx_BFy_k           4       -0.00188516        0.00082797
BFx_BFy_k           5       -0.00420412        0.00188014
BFx_BFy_k           6       -0.00188516        0.00082797
BFx_BFy_k           7        0.00172881        0.00057413
BFx_BFy_k           8        0.00043890        0.00071115
BFx_BFy_k           9        0.00150168        0.00041635
BFx_BFy_k          10        0.00084614        0.00023471
BFx_BFy_k          11       -0.00023510        0.00070171
BFx_BFy_k          12       -0.00203105        0.00073739
BFx_BFy_k          13       -0.00024826        0.00107812
BFx_BFy_k          14       -0.00011882        0.00118827
BFx_BFy_k          15        0.00176132        0.00138679
BFx_BFy_k          16        0.00063308        0.00068158
BFx_BFy_k          17       -0.00188705        0.00123692
BFx_BFy_k          18        0.00001118        0.00092740
BFx_BFy_k          19        0.00402042        0.00067819
BFx_BFy_k          20       -0.01012798        0.00082098
BFx_BFy_k          21        0.00249956        0.00086020
BFx_BFy_k          22        0.01221085        0.00131732
BFx_BFy_k          23       -0.00065249        0.00282737
BFx_BFy_k          24       -0.00154738        0.00072632
BFx_BFy_k          25        0.00201555        0.00090566
BFx_BFy_k          26       -0.00216250        0.00074730
BFx_BFy_k          27        0.00025166        0.00080208
BFx_BFy_k          28       -0.00127910        0.00053419
BFx_BFy_k          29        0.00017592        0.00145429
BFx_BFy_k          30        0.00279017        0.00227374
BFx_BFy_k          31       -0.00209371        0.00080030
BFx_BFy_k          32       -0.00032963        0.00057198
BFx_BFy_k          33        0.00064067        0.00065316
BFx_BFy_k          34       -0.00048439        0.00122154
BFx_BFy_k          35        0.00124050        0.00051519
BFx_BFy_k          36        0.00211934        0.00042488
BFx_BFy_k          37        0.00036720        0.00068931
BFx_BFy_k          38        0.00211934        0.00042488
BFx_BFy_k          39        0.00124050        0.00051519
BFx_BFy_k          40       -0.00048439        0.00122154
BFx_BFy_k          41        0.00201555        0.00090566
BFx_BFy_k          42       -0.00032963        0.00057198
BFx_BFy_k          43       -0.00209371        0.00080030
BFx_BFy_k          44        0.00279017        0.00227374
BFx_BFy_k          45        0.00017592        0.00145429
BFx_BFy_k          46       -0.00127910        0.00053419
BFx_BFy_k          47        0.00025166        0.00080208
BFx_BFy_k          48       -0.00216250        0.00074730
BFx_BFy_k          49       -0.00188705        0.00123692
BFx_BFy_k          50       -0.00154738        0.00072632
BFx_BFy_k          51       -0.00065249        0.00282737
BFx_BFy_k          52        0.01221085        0.00131732
BFx_BFy_k          53        0.00249956        0.00086020
BFx_BFy_k          54       -0.01012798        0.00082098
BFx_BFy_k          55        0.00402042        0.00067819
BFx_BFy_k          56        0.00001118        0.00092740
BFx_BFy_k          57        0.00150168        0.00041635
BFx_BFy_k          58        0.00063308        0.00068158
BFx_BFy_k          59        0.00176132        0.00138679
BFx_BFy_k          60       -0.00011882        0.00118827
BFx_BFy_k          61       -0.00024826        0.00107812
BFx_BFy_k          62       -0.00203105        0.00073739
BFx_BFy_k          63       -0.00023510        0.00070171
BFx_BFy_k          64        0.00084614        0.00023471
  
#-----------------------------------------------------------
BFy_BFy             1        0.96428999        0.00646773
BFy_BFy             2       -0.44646124        0.01776338
BFy_BFy             3        0.51108026        0.00569944
BFy_BFy             4       -0.58414859        0.00958887
BFy_BFy             5        0.48620580        0.01609814
BFy_BFy             6       -0.58414859        0.00958887
BFy_BFy             7        0.51108026        0.00569944
BFy_BFy             8       -0.44646124        0.01776338
BFy_BFy             9       -0.50647705        0.00358944
BFy_BFy            10        0.53812709        0.01263772
BFy_BFy            11       -0.52129494        0.01143385
BFy_BFy            12        0.55972825        0.01348789
BFy_BFy            13       -0.54499010        0.01346620
BFy_BFy            14        0.54056882        0.02076324
BFy_BFy            15       -0.60375834        0.00656871
BFy_BFy            16        0.54395158        0.01775073
BFy_BFy            17        0.43987243        0.02577405
BFy_BFy            18       -0.59954290        0.01507459
BFy_BFy            19        0.56353113        0.01365109
BFy_BFy            20       -0.50367522        0.01792819
BFy_BFy            21        0.55836076        0.00960984
BFy_BFy            22       -0.58907283        0.01311315
BFy_BFy            23        0.51555812        0.01237653
BFy_BFy            24       -0.58541992        0.00320396
BFy_BFy            25       -0.60234985        0.00998635
BFy_BFy            26        0.54433579        0.01824215
BFy_BFy            27       -0.55193175        0.02885973
BFy_BFy            28        0.56962828        0.01156343
BFy_BFy            29       -0.52477946        0.00916655
BFy_BFy            30        0.56294204        0.01132843
BFy_BFy            31       -0.53541956        0.03425138
BFy_BFy            32        0.49126113        0.01712628
BFy_BFy            33        0.60636274        0.02126265
BFy_BFy            34       -0.50489888        0.01731883
BFy_BFy            35        0.57687409        0.00455425
BFy_BFy            36       -0.52908664        0.01271334
BFy_BFy            37        0.52862523        0.01980334
BFy_BFy            38       -0.52908664        0.01271334
BFy_BFy            39        0.57687409        0.00455425
BFy_BFy            40       -0.50489888        0.01731883
BFy_BFy            41       -0.60234985        0.00998635
BFy_BFy            42        0.49126113        0.01712628
BFy_BFy            43       -0.53541956        0.03425138
BFy_BFy            44        0.56294204        0.01132843
BFy_BFy            45       -0.52477946        0.00916655
BFy_BFy            46        0.56962828        0.01156343
BFy_BFy            47       -0.55193175        0.02885973
BFy_BFy            48        0.54433579        0.01824215
BFy_BFy            49        0.43987243        0.02577405
BFy_BFy            50       -0.58541992        0.00320396
BFy_BFy            51        0.51555812        0.01237653
BFy_BFy            52       -0.58907283        0.01311315
BFy_BFy            53        0.55836076        0.00960984
BFy_BFy            54       -0.50367522        0.01792819
BFy_BFy            55        0.56353113        0.01365109
BFy_BFy            56       -0.59954290        0.01507459
BFy_BFy            57       -0.50647705        0.00358944
BFy_BFy            58        0.54395158        0.01775073
BFy_BFy            59       -0.60375834        0.00656871
BFy_BFy            60        0.54056882        0.02076324
BFy_BFy            61       -0.54499010        0.01346620
BFy_BFy            62        0.55972825        0.01348789
BFy_BFy            63       -0.52129494        0.01143385
BFy_BFy            64        0.53812709        0.01263772
  
#-----------------------------------------------------------
BFy_BFy_k           1        0.54818340        0.00588289
BFy_BFy_k           2        0.00211780        0.00082170
BFy_BFy_k           3        0.00281635        0.00080990
BFy_BFy_k           4        0.01028719        0.00157815
BFy_BFy_k           5        0.00488033        0.00145167
BFy_BFy_k           6        0.01028719        0.00157815
BFy_BFy_k           7        0.00281635        0.00080990
BFy_BFy_k           8        0.00211780        0.00082170
BFy_BFy_k           9        0.00224342        0.00025799
BFy_BFy_k          10        0.00280386        0.00126049
BFy_BFy_k          11        0.00089786        0.00038359
BFy_BFy_k          12        0.00544244        0.00099506
BFy_BFy_k          13        0.00182647        0.00071297
BFy_BFy_k          14        0.00449311        0.00019156
BFy_BFy_k          15        0.00806385        0.00215857
BFy_BFy_k          16        0.00202184        0.00087832
BFy_BFy_k          17        0.00282057        0.00040501
BFy_BFy_k          18        0.01089169        0.00232612
BFy_BFy_k          19        0.01115675        0.00202700
BFy_BFy_k          20        0.01593501        0.00269849
BFy_BFy_k          21        0.01614029        0.00286109
BFy_BFy_k          22        0.02006923        0.00485302
BFy_BFy_k          23        0.00669598        0.00142237
BFy_BFy_k          24        0.00265397        0.00091374
BFy_BFy_k          25        0.00329311        0.00105025
BFy_BFy_k          26        0.00532137        0.00229026
BFy_BFy_k          27        0.01212792        0.00207391
BFy_BFy_k          28        0.00688551        0.00177564
BFy_BFy_k          29        0.00413202        0.00103086
BFy_BFy_k          30        0.01823265        0.00412651
BFy_BFy_k          31        0.00685384        0.00009613
BFy_BFy_k          32        0.00484256        0.00141582
BFy_BFy_k          33        0.00183690        0.00044396
BFy_BFy_k          34        0.00476753        0.00063690
BFy_BFy_k          35        0.00492936        0.00181600
BFy_BFy_k          36        0.00275530        0.00147163
BFy_BFy_k          37        0.00235170        0.00085287
BFy_BFy_k          38        0.00275530        0.00147163
BFy_BFy_k          39        0.00492936        0.00181600
BFy_BFy_k          40        0.00476753        0.00063690
BFy_BFy_k          41        0.00329311        0.00105025
BFy_BFy_k          42        0.00484256        0.00141582
BFy_BFy_k          43        0.00685384        0.00009613
BFy_BFy_k          44        0.01823265        0.00412651
BFy_BFy_k          45        0.00413202        0.00103086
BFy_BFy_k          46        0.00688551        0.00177564
BFy_BFy_k          47        0.01212792        0.00207391
BFy_BFy_k          48        0.00532137        0.00229026
BFy_BFy_k          49        0.00282057        0.00040501
BFy_BFy_k          50        0.00265397        0.00091374
BFy_BFy_k          51        0.00669598        0.00142237
BFy_BFy_k          52        0.02006923        0.00485302
BFy_BFy_k          53        0.01614029        0.00286109
BFy_BFy_k          54        0.01593501        0.00269849
BFy_BFy_k          55        0.01115675        0.00202700
BFy_BFy_k          56        0.01089169        0.00232612
BFy_BFy_k          57        0.00224342        0.00025799
BFy_BFy_k          58        0.00202184        0.00087832
BFy_BFy_k          59        0.00806385        0.00215857
BFy_BFy_k          60        0.00449311        0.00019156
BFy_BFy_k          61        0.00182647        0.00071297
BFy_BFy_k          62        0.00544244        0.00099506
BFy_BFy_k          63        0.00089786        0.00038359
BFy_BFy_k          64        0.00280386        0.00126049
  
#-----------------------------------------------------------
Jxx_Jxx             1        1.25059347        0.00701871
Jxx_Jxx             2       -0.20550002        0.00381934
Jxx_Jxx             3        0.02717704        0.00316761
Jxx_Jxx             4       -0.02328923        0.00630536
Jxx_Jxx             5        0.04208712        0.00415167
Jxx_Jxx             6       -0.02328923        0.00630536
Jxx_Jxx             7        0.02717704        0.00316761
Jxx_Jxx             8       -0.20928225        0.00389930
Jxx_Jxx             9       -0.05588024        0.00362672
Jxx_Jxx            10        0.00693045        0.00300656
Jxx_Jxx            11       -0.04425381        0.00127994
Jxx_Jxx            12        0.02322377        0.00420694
Jxx_Jxx            13       -0.03996935        0.00195412
Jxx_Jxx            14        0.02231035        0.00440811
Jxx_Jxx            15       -0.04520561        0.00229939
Jxx_Jxx            16        0.00489962        0.00507960
Jxx_Jxx            17        0.04675440        0.00482795
Jxx_Jxx            18       -0.02582724        0.00697637
Jxx_Jxx            19        0.04155619        0.00440944
Jxx_Jxx            20       -0.02191460        0.00683479
Jxx_Jxx            21        0.04362776        0.00426631
Jxx_Jxx            22       -0.02204289        0.00681631
Jxx_Jxx            23        0.04085218        0.00454417
Jxx_Jxx            24       -0.02603912        0.00708917
Jxx_Jxx            25       -0.03918084        0.00200598
Jxx_Jxx            26        0.02594397        0.00446584
Jxx_Jxx            27       -0.03882916        0.00193951
Jxx_Jxx            28        0.02498397        0.00418554
Jxx_Jxx            29       -0.03956975        0.00179320
Jxx_Jxx            30        0.02475595        0.00421914
Jxx_Jxx            31       -0.03945989        0.00169986
Jxx_Jxx            32        0.02493811        0.00386574
Jxx_Jxx            33        0.04386661        0.00484108
Jxx_Jxx            34       -0.02183540        0.00708814
Jxx_Jxx            35        0.04201108        0.00448573
Jxx_Jxx            36       -0.02183631        0.00665483
Jxx_Jxx            37        0.04307118        0.00421030
Jxx_Jxx            38       -0.02183631        0.00665483
Jxx_Jxx            39        0.04201108        0.00448573
Jxx_Jxx            40       -0.02183540        0.00708814
Jxx_Jxx            41       -0.03918084        0.00200598
Jxx_Jxx            42        0.02493811        0.00386574
Jxx_Jxx            43       -0.03945989        0.00169986
Jxx_Jxx            44        0.02475595        0.00421914
Jxx_Jxx            45       -0.03956975        0.00179320
Jxx_Jxx            46        0.02498397        0.00418554
Jxx_Jxx            47       -0.03882916        0.00193951
Jxx_Jxx            48        0.02594397        0.00446584
Jxx_Jxx            49        0.04675440        0.00482795
Jxx_Jxx            50       -0.02603912        0.00708917
Jxx_Jxx            51        0.04085218        0.00454417
Jxx_Jxx            52       -0.02204289        0.00681631
Jxx_Jxx            53        0.04362776        0.00426631
Jxx_Jxx            54       -0.02191460        0.00683479
Jxx_Jxx            55        0.04155619        0.00440944
Jxx_Jxx            56       -0.02582724        0.00697637
Jxx_Jxx            57       -0.05588024        0.00362672
Jxx_Jxx            58        0.00489962        0.00507960
Jxx_Jxx            59       -0.04520561        0.00229939
Jxx_Jxx            60        0.02231035        0.00440811
Jxx_Jxx            61       -0.03996935        0.00195412
Jxx_Jxx            62        0.02322377        0.00420694
Jxx_Jxx            63       -0.04425381        0.00127994
Jxx_Jxx            64        0.00693045        0.00300656
  
#-----------------------------------------------------------
Jxx_Jxx_k           1        0.05632183        0.00105396
Jxx_Jxx_k           2        0.02300145        0.00017501
Jxx_Jxx_k           3        0.01985770        0.00014926
Jxx_Jxx_k           4        0.01595478        0.00008689
Jxx_Jxx_k           5        0.02331170        0.00423644
Jxx_Jxx_k           6        0.01595478        0.00008689
Jxx_Jxx_k           7        0.01985770        0.00014926
Jxx_Jxx_k           8        0.02300145        0.00017501
Jxx_Jxx_k           9        0.02388899        0.00014040
Jxx_Jxx_k          10        0.02270953        0.00013312
Jxx_Jxx_k          11        0.01939503        0.00008531
Jxx_Jxx_k          12        0.01563626        0.00008039
Jxx_Jxx_k          13        0.01411269        0.00011835
Jxx_Jxx_k          14        0.01577773        0.00004607
Jxx_Jxx_k          15        0.01947357        0.00014597
Jxx_Jxx_k          16        0.02279912        0.00014118
Jxx_Jxx_k          17        0.02389797        0.00011110
Jxx_Jxx_k          18        0.02266320        0.00007773
Jxx_Jxx_k          19        0.01913462        0.00001375
Jxx_Jxx_k          20        0.01485647        0.00013315
Jxx_Jxx_k          21        0.01273996        0.00013769
Jxx_Jxx_k          22        0.01495213        0.00008463
Jxx_Jxx_k          23        0.01915583        0.00015495
Jxx_Jxx_k          24        0.02271873        0.00011042
Jxx_Jxx_k          25        0.02455139        0.00007068
Jxx_Jxx_k          26        0.02310708        0.00005852
Jxx_Jxx_k          27        0.01912780        0.00002530
Jxx_Jxx_k          28        0.01376793        0.00010063
Jxx_Jxx_k          29        0.01095160        0.00016582
Jxx_Jxx_k          30        0.01402747        0.00001987
Jxx_Jxx_k          31        0.01921678        0.00006081
Jxx_Jxx_k          32        0.02313875        0.00007458
Jxx_Jxx_k          33        0.02505090        0.00004802
Jxx_Jxx_k          34        0.02347037        0.00005121
